	four	second	reports	music	until	example	want	travel	feature	series	re	wasn	service	needed	project	saying	than	best	country	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	inside	time	minute	team	along	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	note	take	ways	link	going	where	many	wants	photos	single	being	around	world	power	favorite	her	complete	gone	ad	am	gifts	having	tv	large	small	hours	experience	social	via	company	learn	sense	its	always	found	really	research	major	obama	sell	self	also	play	plan	sometimes	microsoft	set	see	movie	available	last	whole	recent	readers	couple	d	continue	anything	into	line	posted	up	us	ago	try	video	let	great	involved	makes	next	process	high	perfect	could	david	scene	start	haven	fact	bring	should	hope	move	means	stuff	email	co	ve	off	less	web	five	become	does	software	doing	problem	worth	above	told	word	work	interview	after	then	them	they	network	created	another	do	away	terms	com	thanks	night	security	post	months	way	update	together	global	guy	change	usually	extra	live	car	december	heard	write	use	still	now	year	happen	space	looking	shows	card	care	couldn	yourself	online	only	between	article	comes	these	media	food	thinking	real	read	early	using	business	aren	lot	trying	building	month	very	learned	family	ask	takes	taken	site	history	tried	help	soon	actually	systems	event	since	reason	put	american	behind	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	used	user	game	run	seeing	within	e	go	facebook	click	following	announced	started	control	links	including	him	keep	exactly	need	able	based	course	she	tuesday	well	lost	page	twitter	home	he	stories	star	friends	amp	companies	force	likely	even	tips	ever	never	call	tell	wars	give	amazing	answer	before	personal	better	weeks	went	side	content	isn	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	save	deal	popular	super	down	form	finally	did	visit	making	may	grow	man	maybe	talk	nbsp	group	interesting	morning	thing	think	long	little	anyone	were	paid	especially	show	black	get	enough	reading	across	according	doesn	those	different	same	running	money	either	videos	general	film	again	important	u	starting	public	search	two	hour	share	needs	through	late	good	everyone	house	hard	done	least	part	believe	b	build	most	find	please	point	simple	create	understand	fun	itself	spent	spend	source	big	bit	google	often	back	forward	entire	giving	others	later	ll	age	day	red	national	taking	holiday	value	almost	thought	add	works	although	buy	minutes	original	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	past	though	watch	amazon	report	full	however	news	been	several	gave	gift	specific	everything	christmas	why	head	no	longer	level	says	goes	water	today	local	information	name	turn	place	coming	given	white	r	any	ideas	sure	state	outside	come	case	myself	someone	check	week	without	seems	blog	there	idea	program	woman	far	list	design	version	known	rather	short	might	number	feel	story	store	kind	nothing	his	hit	wrote	art	recently	due	holidays	questions	question	fast	called	users	helping	once	issues	include	apple	app	few	something	six	instead	our	york	their	which	who	ones	view	job	gets	half	other	smart	know	because	lead	getting	own	made	book
Schneier on Security	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	3	0	3	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	2	0	2	1	1	0	0	0	0	1	0	4	0	0	0	1	0	0	4	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2	5	0	0	1	1	0	0	0	0	0	7	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	0	2	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	2	1	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	1	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	1	2	0	0	0	1	1	6	5	0	0	0	0	0	1	0	0	1	1	7	1	1	0	0	0	0	1	0	1	0	1	0	2	0	3	0	0	0	2	0	3	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	6	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	0	6	0	2	0	0	1	8	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	3	4	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	1	0	1	0	0	2	2	0	2	0	0	1	1	0	3	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	2	5	1	12	4	8	0	1	1	0	0	1	0	1	1	0	0	2	0	1
PaulStamatiou.com - Technology, Design and Photography	3	14	2	7	13	10	23	8	8	2	36	6	17	16	30	6	24	14	4	8	69	8	5	22	67	6	7	13	17	34	11	3	6	58	0	22	16	7	39	13	37	11	17	2	0	9	7	3	7	7	5	6	8	17	2	4	16	28	14	1	13	6	11	29	11	1	5	1	2	1	6	6	0	19	1	4	7	6	15	1	4	3	7	8	4	9	12	8	6	0	0	0	1	44	5	11	0	1	10	21	0	6	27	8	6	1	0	20	3	5	42	5	0	62	9	8	9	56	12	17	2	3	16	22	5	4	31	4	2	14	3	1	1	18	1	4	5	4	7	1	20	15	10	18	0	2	15	6	2	6	2	2	2	2	40	0	33	32	33	66	23	5	16	41	6	4	20	2	2	0	32	11	28	10	3	3	0	10	6	4	7	4	0	3	8	55	28	42	17	2	3	6	44	5	2	7	0	4	96	9	8	5	22	7	0	9	17	5	10	23	0	0	3	8	13	20	19	5	3	7	4	2	45	1	1	11	1	16	1	3	25	8	13	0	4	4	2	4	11	22	3	6	6	8	3	2	1	47	43	23	26	4	8	11	2	1	12	2	8	0	3	15	6	1	4	1	10	9	25	15	2	14	0	0	22	1	32	48	7	10	3	0	4	26	0	5	5	20	1	4	8	17	8	0	6	2	3	17	4	60	6	5	3	7	2	0	7	3	26	27	3	2	4	9	0	2	8	68	29	1	0	4	7	4	3	6	2	18	3	2	18	3	5	10	3	0	3	3	6	6	4	2	15	17	9	4	1	36	2	4	12	1	68	12	8	3	0	7	8	7	18	9	2	5	11	2	0	4	0	0	4	3	1	21	4	10	3	20	5	20	5	4	10	13	3	30	3	3	14	18	14	4	14	10	14	3	2	5	3	3	2	8	18	59	12	17	5	5	0	5	14	27	1	18	4	0	8	0	4	4	16	5	8	1	2	8	4	3	16	0	25	81	32	5	50	15	15	33	12	12	1	17	4	18	14	10	6	22	3	4	19	2	15	0	6	12	12	19	7	2	5	3	11	0	16	1	38	9	8	3	4	0	2	2	0	8	2	7	2	0	0	6	34	5	13	5	2	10	6	8	4	5	21	12	4	13	46	8	0	0	4	4	83	9	1	4	4	15	20	16	4	5	2	4	8	6	6	3	6	5	1	12	1	8	7	19	1	1	13	3	2	45	42	29	1	6	43	2	32	20	2	2	7	4	3	1	34	3	14	7	1	18	20	15	1
Search Engine Roundtable	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	4	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	6	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	3	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Copyblogger	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	1	2	0	0	1	3	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	2	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	9	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	4	0	0	0	0	0	11	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	10	0	2	6	0	1	0	1	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	1	0	0	1	0	0	23	0	0	0	0	1	0	0	0	0	1	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	3	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
Joi Ito's Web	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	2	0	0	1	2	0	0	0	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	6	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	1	0	1	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engadget RSS Feed	1	0	2	3	0	0	0	0	2	2	6	0	2	0	0	0	2	5	0	0	2	3	0	3	1	0	1	0	2	0	0	0	0	3	1	1	2	0	0	1	1	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	5	0	1	6	0	1	0	1	1	0	0	0	0	2	0	0	2	1	0	1	0	3	0	1	0	0	5	0	0	2	0	0	5	0	0	0	1	1	1	0	0	4	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	1	2	1	4	1	0	0	0	0	0	3	2	2	1	2	0	0	0	1	0	0	0	0	1	1	2	2	6	7	0	1	0	3	2	0	0	0	1	2	0	1	2	1	0	0	0	1	1	2	1	3	1	2	1	1	0	2	0	1	1	0	1	0	0	0	0	3	0	2	0	1	0	1	0	1	1	3	2	0	0	0	1	0	1	1	0	2	0	2	2	1	1	0	0	0	0	0	0	0	0	3	1	1	1	0	0	1	0	0	1	1	0	0	0	3	0	0	2	1	2	2	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	1	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	2	2	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	1	1	9	1	0	0	0	2	1	0	1	1	0	0	2	0	3	0	1	0	1	1	0	0	0	1	0	1	0	0	2	3	0	1	1	1	6	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	1	1	2	4	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	4	1	1	0	1	1	1	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	2	0	0	0	2	6	1	0	0	2	0	5	0	4	3	0	0	0	0	0	1	1	0	0	0	0	2	1	2	0
TMZ.com	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	2	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	3	0	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	1	4	0	0	0	1	1	0	0	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	5	2	1	2	1	1	1	5	0	8	0	0	0	1	0	4	0	4	1	0	1	3	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	2	0	0	3	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	4	0	0	5	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	1	1	0	1	0	2	0
A Consuming Experience (full feed)	0	0	0	0	1	2	9	0	0	0	13	1	0	2	1	2	5	4	0	1	1	0	9	2	12	1	5	10	6	9	2	0	5	13	0	0	0	1	7	0	1	2	5	3	0	0	29	0	0	0	1	2	4	3	2	0	2	8	3	0	0	2	0	0	0	0	0	0	1	0	0	1	0	4	2	0	0	3	0	0	2	0	0	0	6	6	11	3	0	0	0	0	0	10	0	0	1	3	6	20	0	1	0	0	0	0	1	7	3	6	0	2	0	22	0	0	18	1	2	0	0	0	8	2	0	0	8	0	0	10	2	0	0	13	2	3	0	1	0	1	19	3	1	1	0	0	1	0	1	10	3	5	0	20	15	0	13	34	8	5	3	1	2	16	0	0	0	1	0	3	9	0	15	4	0	0	0	2	1	3	0	0	0	0	0	18	4	14	0	0	4	0	0	0	1	0	0	2	19	1	0	0	0	0	0	1	1	2	0	17	0	0	3	7	0	0	2	0	0	0	3	1	3	0	10	2	2	0	0	0	2	2	0	0	0	3	0	1	0	4	8	2	2	11	0	3	0	5	1	2	2	0	4	0	3	0	14	0	18	2	0	2	0	0	0	0	8	2	8	1	3	0	0	0	5	0	2	0	0	0	0	0	0	2	0	0	1	13	5	0	1	0	0	0	1	0	0	12	2	3	0	0	0	0	3	0	1	0	19	1	5	1	0	0	2	0	0	1	18	10	0	5	3	7	1	0	0	8	0	1	2	1	0	15	0	0	0	0	29	0	0	0	2	1	3	0	0	3	0	1	2	0	17	2	0	3	0	7	4	2	17	6	0	1	0	2	0	16	1	0	3	0	6	4	0	0	0	1	0	1	0	0	1	1	3	0	0	1	0	5	9	6	1	0	1	0	0	3	0	1	3	2	13	0	0	9	1	0	1	1	4	8	0	1	2	0	2	0	1	1	0	18	3	1	0	4	11	0	5	0	0	2	0	1	12	1	1	12	0	2	0	4	6	1	1	7	8	3	1	1	3	0	2	2	4	6	0	5	0	1	0	2	3	0	3	0	10	3	0	1	1	0	0	0	0	13	1	1	0	1	0	0	2	0	11	0	0	0	4	1	0	6	0	5	5	1	24	0	7	0	3	3	0	22	0	1	0	1	4	1	0	1	1	2	0	2	0	0	2	0	0	0	0	1	1	2	1	4	4	0	1	0	1	5	0	4	0	0	4	16	3	1	10	0	2	0	13	0	2	14	1	2	3	4	0
Latest from Crooks and Liars	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	1	3	2	1	3	1	2	0	0	2	2	0	5	0	3	1	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	2	0	1	0	0	2	2	1	0	0	0	3	1	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	3	0	1	4	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0	0	2	0	0	4	2	0	2	2	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	1	1	1	10	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	1	3	5	0	0	0	1	0	0	0	1	0	3	0	0	0	4	4	0	0	1	4	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	8	0	2	2	0	0	0	8	0	1	0	0	0	3	0	5	1	0	3	0	0	1	0	0	0	0	1	2	1	0	0	0	1	0	0	0	3	2	0	0	0	8	2	0	1	0	2	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	2	1	1	0	0	0	0	7	2	0	2	1	2	0	0	0	0	3	1	0	0	1	0	3	0	2	0	0	2	3	0	0	3	0	1	0	0	0	1	0	0	2	1	1	1	3	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	6	0	0	1	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	5	0	0	2	0	0	1	0	0	0	2	3	1	0	2	0	0	0	0	1	0	1	2	0	0	0	1	1	1	2	5	0	1	1	0	0	0	0	2	0	0	1	0	0	1	0	2	1	6	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	3	0	0	4	0	5	1	6	0	0	0	1	0	1	0	2	0	0	0	3	1	0
Publishing 2.0	0	2	0	0	0	2	1	0	6	0	8	0	1	0	2	0	3	3	0	1	3	0	0	1	5	1	0	6	1	5	1	0	0	2	0	1	1	0	0	0	1	2	0	4	1	1	2	1	21	0	0	1	0	1	0	14	3	4	6	0	0	0	2	4	2	1	0	0	0	1	9	6	0	0	2	0	0	0	0	1	0	3	0	0	4	0	1	0	0	2	0	4	0	1	1	0	1	0	2	2	0	0	5	0	3	6	0	1	2	0	1	0	2	2	6	1	0	0	1	5	2	0	2	0	2	0	5	0	0	2	2	1	0	4	1	0	0	1	0	0	6	1	1	22	1	3	0	0	2	1	0	0	0	0	1	0	0	2	1	12	2	1	0	2	5	2	10	0	0	0	9	1	4	1	1	0	1	2	1	2	0	0	1	1	0	2	1	7	1	4	2	1	1	0	2	2	0	9	1	0	5	2	5	14	0	2	0	1	0	2	7	0	3	2	0	0	2	0	0	2	0	0	11	1	0	2	0	1	2	0	2	1	3	0	1	0	0	0	0	0	0	2	0	2	0	1	0	0	2	2	2	2	0	0	0	1	1	4	0	0	1	2	2	9	0	0	2	1	2	0	1	1	0	0	2	0	13	7	0	8	10	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	15	2	1	3	0	6	5	1	0	0	1	0	2	3	0	4	2	2	0	1	0	0	0	0	2	0	1	0	1	3	3	1	0	0	1	0	0	2	0	1	2	1	0	3	0	0	0	1	0	6	3	8	1	1	2	2	0	0	0	3	0	0	2	0	0	7	1	0	0	1	4	0	1	3	5	1	1	1	1	1	0	1	0	1	0	0	13	1	0	0	2	1	1	0	0	0	0	0	4	1	9	2	2	0	1	0	1	0	2	2	0	0	1	0	0	5	1	0	0	1	0	0	0	2	0	2	0	0	2	0	0	1	4	2	4	1	1	0	3	2	0	3	1	1	2	0	0	1	0	0	3	5	0	57	5	1	0	0	1	2	0	9	3	5	1	1	0	1	0	5	3	3	1	0	0	0	0	0	0	3	0	1	2	1	2	2	0	1	0	5	1	1	6	11	1	2	0	0	0	0	0	0	2	0	1	2	0	4	0	5	1	4	0	1	0	1	1	0	1	4	5	4	1	3	0	0	1	0	0	4	0	0	1	7	5	6	12	2	0	0	0	2	0	7	0	2	5	2	0	2	0	2
